,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76
C0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,0.9265350877192983,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,0.9256465517241379,0.9901960784313726,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,0.9256465517241379,0.9901960784313726,0.9858490566037735,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,0.9594155844155844,0.843400447427293,0.8425312729948492,0.8425312729948492,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,0.9120059656972409,0.7924812030075188,0.7911111111111111,0.7911111111111111,0.9671474358974359,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,0.9157088122605364,0.7953488372093023,0.8518518518518519,0.7938931297709924,0.9695723684210527,0.9830827067669173,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7,0.9147640791476408,0.7946153846153846,0.7931818181818182,0.7931818181818182,0.9689542483660131,0.9822761194029851,0.9855769230769231,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,0.9765625,0.8572719060523939,0.9217479674796748,0.856,0.95625,0.9068100358422939,0.9592013888888888,0.9093567251461988,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9,0.9833333333333333,0.8628019323671497,0.8613485280151947,0.9265350877192983,0.9605263157894737,0.9138321995464853,0.9176379176379177,0.9166666666666666,0.9781746031746031,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10,0.9900442477876106,0.9300411522633745,0.9272727272727272,0.9272727272727272,0.9646551724137931,0.9317460317460318,0.9362745098039216,0.935117599351176,0.9842436974789915,0.9921171171171171,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11,0.9292929292929293,0.8060344827586207,0.8601532567049809,0.8042372881355933,0.8997289972899729,0.9659926470588235,0.9654850746268657,0.918622848200313,0.9675572519083969,0.9316239316239316,0.953026196928636,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12,0.9377777777777778,0.8128440366972477,0.8108108108108109,0.8626262626262626,0.9051663128096249,0.9709302325581395,0.9270315091210614,0.9259259259259259,0.9304495335029687,0.971875,0.9636015325670498,0.9854910714285714,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C13,0.9304495335029687,0.8069565217391305,0.8608695652173913,0.8051282051282052,0.9004771642808452,0.9166666666666666,0.9661654135338346,0.9196217494089834,0.9682692307692308,0.9328165374677002,0.9544626593806922,0.9760416666666667,0.9444444444444444,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C14,0.9377777777777778,0.8128440366972477,0.8108108108108109,0.8626262626262626,0.9051663128096249,0.9227053140096618,0.9270315091210614,0.9259259259259259,0.9304495335029687,0.971875,0.9636015325670498,0.9430670339761249,0.9797297297297297,0.9864864864864865,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C15,0.96875,0.8626262626262626,0.926605504587156,0.8611111111111112,0.9035639412997903,0.9206349206349206,0.9689922480620154,0.9237631792376317,0.9712301587301587,0.9377777777777778,0.96045197740113,0.9795258620689655,0.9501915708812261,0.9804347826086957,0.9501915708812261,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16,0.9735169491525424,0.8675213675213675,0.8658280922431866,0.9261904761904762,0.9084967320261438,0.9270315091210614,0.9316239316239316,0.9304495335029687,0.9352580927384077,0.9752155172413793,0.9702380952380952,0.9487179487179487,0.9836448598130841,0.9501915708812261,0.9836448598130841,0.981651376146789,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C17,0.9710743801652892,0.8650051921079959,0.8634046890927625,0.8634046890927625,0.905982905982906,0.9237631792376317,0.9281537176274018,0.9722222222222222,0.9316239316239316,0.941712204007286,0.9652173913043478,0.9444444444444444,0.9547689282202556,0.945845004668534,0.9547689282202556,0.9787946428571429,0.9846698113207547,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C18,0.941712204007286,0.8666666666666667,0.8138888888888889,0.8650051921079959,0.9076479076479076,0.9259259259259259,0.9304495335029687,0.9292929292929293,0.9340277777777778,0.9743589743589743,0.9685349065880039,0.9472693032015066,0.9826388888888888,0.9487179487179487,0.9826388888888888,0.9547689282202556,0.9867788461538461,0.9595959595959596,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19,0.9377777777777778,0.8128440366972477,0.8654434250764526,0.8626262626262626,0.9051663128096249,0.9227053140096618,0.9704724409448819,0.9259259259259259,0.9727822580645161,0.971875,0.9636015325670498,0.981359649122807,0.9797297297297297,0.9823008849557522,0.9797297297297297,0.9862385321100917,0.9836448598130841,0.9547689282202556,0.9826388888888888,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C20,0.950925925925926,0.8721153846153846,0.9273504273504274,0.8688679245283019,0.9144736842105263,0.934001670843776,0.9743852459016393,0.9376068376068376,0.976890756302521,0.9538606403013182,0.978978978978979,0.9862385321100917,0.9683995922528033,0.9872685185185185,0.9683995922528033,0.9915865384615384,0.9756613756613757,0.970164609053498,0.9737945492662474,0.9938725490196079,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C21,0.9390681003584229,0.8138888888888889,0.8118181818181818,0.8634046890927625,0.905982905982906,0.9237631792376317,0.9281537176274018,0.9722222222222222,0.9316239316239316,0.9726890756302521,0.9652173913043478,0.9444444444444444,0.9806818181818182,0.945845004668534,0.9806818181818182,0.9516908212560387,0.9846698113207547,0.9927884615384616,0.9836448598130841,0.9806818181818182,0.970164609053498,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C22,0.9530651340996169,0.875,0.8715686274509804,0.9262926292629263,0.9151651651651652,0.9354005167958657,0.9404444444444444,0.9391534391534392,0.9444444444444444,0.9797297297297297,0.9823468328141225,0.9593253968253969,0.9889705882352942,0.960960960960961,0.9889705882352942,0.9678089304257529,0.9936224489795918,0.9732905982905983,0.9924242424242424,0.9889705882352942,0.9888888888888889,0.9900990099009901,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C23,0.8512544802867383,0.961864406779661,0.9271402550091075,0.9271402550091075,0.9186643835616438,0.8507462686567164,0.852991452991453,0.8524173027989822,0.8478632478632478,0.8524590163934426,0.9178743961352657,0.7926829268292683,0.7982758620689655,0.7934426229508197,0.7982758620689655,0.7966101694915254,0.8017857142857143,0.7991304347826087,0.8525073746312685,0.7982758620689655,0.8558558558558559,0.7991304347826087,0.8579439252336448,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C24,0.8500881834215167,0.9271402550091075,0.9631147540983607,0.9223985890652557,0.9180743243243243,0.8496732026143791,0.9192307692307692,0.8512949039264829,0.9163461538461538,0.8512544802867383,0.9154795821462488,0.8500451671183379,0.7966101694915254,0.8506375227686703,0.7966101694915254,0.8531073446327684,0.8,0.7974358974358975,0.7991304347826087,0.8544061302681992,0.914914914914915,0.7974358974358975,0.8550458715596331,0.990909090909091,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C25,0.8506666666666667,0.9296296296296296,0.9247311827956989,0.9645833333333333,0.9183673469387755,0.8502057613168724,0.8524173027989822,0.8518518518518519,0.8473282442748091,0.9194214876033058,0.9166666666666666,0.7919354838709678,0.8524904214559387,0.7926829268292683,0.8524904214559387,0.795798319327731,0.8551587301587301,0.7982758620689655,0.8544739429695182,0.8524904214559387,0.8544642857142857,0.8531400966183574,0.9148494288681205,0.9930555555555556,0.9888392857142857,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C26,0.8471111111111111,0.9222222222222223,0.9639830508474576,0.9175627240143369,0.8421052631578947,0.8512949039264829,0.9202755905511811,0.852991452991453,0.8461538461538461,0.7919354838709678,0.8538461538461538,0.8518518518518519,0.7991304347826087,0.8524743230625583,0.7991304347826087,0.9214601769911505,0.8565656565656565,0.8544739429695182,0.8017857142857143,0.856440511307768,0.918724279835391,0.8,0.8594339622641509,0.943502824858757,0.9762931034482759,0.9407407407407408,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C27,0.848816029143898,0.9298245614035088,0.9246704331450094,0.9612068965517241,0.843400447427293,0.852991452991453,0.855379188712522,0.8547681539807525,0.7883720930232558,0.85,0.8578947368421053,0.795798319327731,0.8558558558558559,0.7966101694915254,0.8558558558558559,0.8544739429695182,0.9221698113207547,0.8565656565656565,0.8580246913580247,0.8558558558558559,0.8616822429906542,0.8565656565656565,0.9215686274509803,0.9523809523809523,0.946360153256705,0.9754464285714286,0.9879807692307693,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C28,0.7912,0.89,0.9259259259259259,0.8838709677419355,0.8425312729948492,0.9205426356589147,0.9206349206349206,0.8535745047372955,0.8466838931955211,0.7926829268292683,0.8551724137931035,0.9213362068965517,0.8598598598598599,0.8531073446327684,0.8,0.8557504873294347,0.8036363636363636,0.8008849557522124,0.8027027027027027,0.8571428571428571,0.9200415368639667,0.8008849557522124,0.8609523809523809,0.946360153256705,0.9780701754385965,0.943502824858757,0.9837962962962963,0.9588477366255144,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C29,0.7926829268292683,0.896551724137931,0.89,0.9246704331450094,0.843400447427293,0.9212598425196851,0.855379188712522,0.8547681539807525,0.7883720930232558,0.85,0.8578947368421053,0.8563218390804598,0.9236111111111112,0.7966101694915254,0.8558558558558559,0.8,0.8587746625129803,0.8027027027027027,0.8580246913580247,0.8558558558558559,0.8616822429906542,0.8565656565656565,0.9215686274509803,0.9523809523809523,0.946360153256705,0.9754464285714286,0.9555555555555556,0.9852941176470589,0.9901960784313726,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30,0.7883720930232558,0.878125,0.9166666666666666,0.8727272727272727,0.8408602150537634,0.8496732026143791,0.9192307692307692,0.8512949039264829,0.8446115288220551,0.789763779527559,0.85,0.8500451671183379,0.7966101694915254,0.9230769230769231,0.8623402163225172,0.8531073446327684,0.8,0.7974358974358975,0.7991304347826087,0.8544061302681992,0.914914914914915,0.7974358974358975,0.8550458715596331,0.9354838709677419,0.9713114754098361,0.9329805996472663,0.9762931034482759,0.946360153256705,0.9780701754385965,0.946360153256705,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C31,0.789763779527559,0.8838709677419355,0.878125,0.9153439153439153,0.8416848220769789,0.8507462686567164,0.852991452991453,0.8524173027989822,0.7857142857142857,0.8476702508960573,0.8525423728813559,0.7926829268292683,0.8531400966183574,0.8594491927825261,0.925,0.7966101694915254,0.8558558558558559,0.7991304347826087,0.8551587301587301,0.8531400966183574,0.8558558558558559,0.8538011695906432,0.9161425576519916,0.9407407407407408,0.9354838709677419,0.96875,0.943502824858757,0.9772727272727273,0.946360153256705,0.9772727272727273,0.990909090909091,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C32,0.7926829268292683,0.896551724137931,0.9310344827586207,0.9246704331450094,0.843400447427293,0.852991452991453,0.9213709677419355,0.8547681539807525,0.847769028871391,0.85,0.8578947368421053,0.8537511870845205,0.8558558558558559,0.8544061302681992,0.8558558558558559,0.8571428571428571,0.8587746625129803,0.8027027027027027,0.8580246913580247,0.9220183486238532,0.9227513227513228,0.8565656565656565,0.9215686274509803,0.9523809523809523,0.9818181818181818,0.9754464285714286,0.9879807692307693,0.9852941176470589,0.9901960784313726,0.9852941176470589,0.9818181818181818,0.9772727272727273,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C33,0.7919354838709678,0.8932203389830509,0.8868852459016393,0.9222222222222223,0.8429629629629629,0.8524173027989822,0.8547681539807525,0.9206349206349206,0.7876923076923077,0.8494031221303948,0.8565217391304348,0.795,0.8551587301587301,0.795798319327731,0.8551587301587301,0.7991304347826087,0.8580246913580247,0.8585858585858586,0.8572884811416922,0.8551587301587301,0.8601851851851852,0.9220183486238532,0.9201725997842503,0.949317738791423,0.943502824858757,0.9736842105263158,0.9523809523809523,0.9831730769230769,0.9555555555555556,0.9831730769230769,0.943502824858757,0.9754464285714286,0.9831730769230769,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C34,0.7934426229508197,0.9259259259259259,0.8932203389830509,0.9272030651340997,0.8438438438438438,0.8535745047372955,0.856,0.855379188712522,0.7890625,0.8506069094304388,0.8592920353982301,0.7966101694915254,0.8565656565656565,0.7974358974358975,0.8565656565656565,0.8008849557522124,0.859538784067086,0.8036363636363636,0.9238095238095239,0.8565656565656565,0.8632075471698113,0.8572884811416922,0.922992299229923,0.975,0.949317738791423,0.9772727272727273,0.9588477366255144,0.9875,0.9622641509433962,0.9875,0.949317738791423,0.9791666666666666,0.9875,0.9852941176470589,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C35,0.8008333333333333,0.92,0.9122807017543859,0.9444444444444444,0.845509893455099,0.8556430446194225,0.8581752484191508,0.8575268817204301,0.796031746031746,0.8575498575498576,0.8684684684684685,0.8043103448275862,0.8641975308641975,0.8052173913043478,0.8641975308641975,0.809009009009009,0.8675213675213675,0.812037037037037,0.8666666666666667,0.8641975308641975,0.8730769230769231,0.8650051921079959,0.9326599326599326,0.9643605870020965,0.9575757575757575,0.9811320754716981,0.967948717948718,0.9921875,0.971677559912854,0.9921875,0.9575757575757575,0.9831730769230769,0.9921875,0.9897959183673469,0.9946808510638298,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
